ID admis;Název projektu;druh stavby;podkategorie;dopravní zatížení;spolufinancování;dopravní význam;technický stav;stavební stav;životní prostředí;regionální význam;jediná přístupová cesta;stav přípravy;hromadná doprava;nehodová lokalita;Výsledné hodnocení;Hodnocení s korekcí;Předpokládané náklady KSÚS (s DPH);Předpokládaný zdroj spolufinancování;Poznámky;29 258 546 445.85;Prosím opravit a zapsat do sloupce R (starý předpokládaný zdroj spolufinancování);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;II/610 x II/245 Brandýs nad Labem, křižovatka;řešení bodové závady a/nebo bezpečnostního rizika (křižovatky, opěrné zdi, skalní masivy);-;8;8;10;6;3;0;2;0;0;10;7;36.2;51.0;30 000 000.00;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI; III/0066, III/00711, III/00716 Hřebeč, rekonstrukce silnic I.etapa;oprava a rekonstrukce;Souvislá údržba;4;10;6;6;6;10;7;0;10;10;2;44.2;69.1;25 000 000.00;;Realizace možná až po opravě sil. II/244 (most na obj. trase);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI; III/0066, III/00711, III/00716 Hřebeč, rekonstrukce silnic II.etapa;oprava a rekonstrukce;Rekonstrukce;4;10;6;6;6;10;7;0;10;10;2;44.2;69.1;45 000 000.00;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI; III/1024 a III/1025 Čisovice, mosty ev.č. 1024-2, 1024-4 a 1025-2;mostní objekty a propustky;Most;2;0;5;6;6;0;4;0;5;10;0;21.3;44.4;65 000 000.00;;;;IROP 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359;,,II/276 Bakov, most ev.č. 276-006 přes Jizeru před Bakovem n/J “;mostní objekty a propustky;Most;4;0;10;6;6;0;10;0;5;10;0;29;60.4;59 800 000.00;;;;SFDI (chybějící SOKP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
361;",,II/610 Předměřice, most ev.č. 610-020 inundaci Jizery u Předměřic - PD""";mostní objekty a propustky;Most;3;10;10;6;6;10;10;0;8;10;0;35.9;74.8;60 000 000.00;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
364;",,II/610 Stará Boleslav, most ev.č. 610-018 přes D10 za obcí St.Boleslav""";mostní objekty a propustky;Most;6;0;10;6;6;0;10;0;8;10;0;32.2;67.1;80 000 000.00;;;;SFDI (chybějící SOKP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
367;",,III/27515 Kolomuty, most ev.č. 27515-7 přes Klenici za Kolomuty""";mostní objekty a propustky;Most;2;0;5;6;6;0;10;0;5;10;0;27.3;56.9;22 000 000.00;;;;SFDI mosty;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
178;„III/27938 Obrubce – Dolní Bousov“, ;oprava a rekonstrukce;Rekonstrukce;4;10;5;6;6;10;4;0;8;10;10;40.6;63.4;113 991 000.00;;V projekční přípravě (DÚR);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#NENÍ_K_DISPOZICI;2423-1 Úholičky;mostní objekty a propustky;Most;4;0;5;6;6;0;0;0;2;0;0;10.5;21.9;3 630 000.00;;V projekční přípravě. Bylo nutné přepracování PD (zařazen do kulturních památek);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
